TCGA_BR_PFS	TCGA_BR_OS	META_BR_PFS	META_BR_OS	TCGA_SKCM_PFS	TCGA_SKCM_OS	TCGA_LUAD_PFS	TCGA_LUAD_OS	TCGA_LUSC_PFS	TCGA_LUSC_OS	TCGA_HNSC_PFS	TCGA_HNSC_OS	TCGA_COAD_PFS	TCGA_COAD_OS	TCGA_KIRC_PFS	TCGA_KIRC_OS	train_prop	ntrees	PC
0.444066527	0.579377608	0.239195767	0.106675863	0.121275161	0.137248114	0.94952046	0.502587542	0.680119255	0.621963728	0.517497158	0.35604712	0.112193819	0.322136863	0.280546647	0.131425315	25	10	1
0.316424549	0.493681471	0.446701177	0.132087065	0.003664144	0.125986468	0.435097233	0.554374009	0.658889064	0.57677344	0.230696024	0.129040372	0.066101861	0.402026825	0.114738623	0.111702673	25	15	1
0.989021722	0.371629712	0.262325558	0.093858545	0.019771005	0.059036718	0.544032308	0.785400075	0.322973077	0.5060041	0.089825438	0.039240554	0.07969822	0.475961652	0.218854503	0.038046702	25	25	1
0.73945885	0.307531519	0.062305526	0.019995471	0.019771005	0.059036718	0.457509204	0.860989727	0.312404985	0.584160383	0.169798496	0.103297051	0.083636963	0.462145334	0.135353297	0.046518569	25	50	1
0.829579547	0.661684761	0.059313174	0.018090874	0.040741558	0.084985507	0.40368922	0.785374592	0.290194223	0.493171279	0.113548495	0.060851091	0.170132985	0.710593359	0.190567125	0.066352227	25	75	1
0.719977998	0.517220589	0.060382582	0.020979336	0.040741558	0.084985507	0.595745464	0.965476269	0.200823292	0.354741552	0.11504989	0.06013784	0.085018553	0.600288463	0.208569943	0.092296021	25	100	1
0.719977998	0.517220589	0.052324513	0.023227785	0.035365331	0.083682068	0.799996871	0.767443918	0.239554996	0.482135951	0.185445379	0.085848961	0.102827037	0.494357084	0.191912813	0.088059846	25	175	1
0.698595493	0.526824622	0.096500932	0.051494026	0.035365331	0.083682068	0.539684697	0.983872278	0.377621291	0.661020023	0.116687821	0.058799958	0.102827037	0.494357084	0.232718241	0.118087395	25	190	1
0.698595493	0.526824622	0.070444319	0.037331504	0.035365331	0.083682068	0.460373073	0.860381638	0.322514659	0.574445963	0.168379418	0.072088582	0.065521735	0.520195435	0.216221103	0.111756455	25	200	1
0.719977998	0.517220589	0.153495602	0.080146807	0.035365331	0.083682068	0.498801599	0.791915375	0.406045186	0.689459884	0.175137943	0.08122404	0.139039627	0.449700029	0.201301191	0.100123289	25	225	1
0.698595493	0.526824622	0.097739248	0.049275642	0.019771005	0.059036718	0.455666626	0.903344405	0.390707715	0.643604839	0.248798785	0.135050455	0.139039627	0.449700029	0.245518734	0.122516155	25	250	1
0.719977998	0.517220589	0.09730565	0.047150519	0.019771005	0.059036718	0.495443232	0.932074368	0.390707715	0.643604839	0.193821578	0.09139919	0.121589459	0.425118262	0.263843113	0.129632336	25	275	1
0.719977998	0.517220589	0.115620082	0.059576572	0.019771005	0.059036718	0.495443232	0.932074368	0.410181114	0.685397612	0.238128328	0.120786319	0.121589459	0.425118262	0.263843113	0.129632336	25	300	1
0.719977998	0.517220589	0.115620082	0.059576572	0.019771005	0.059036718	0.571722498	0.903795099	0.350765902	0.625128228	0.186731674	0.096282416	0.121589459	0.425118262	0.212849484	0.104008736	25	325	1
0.719977998	0.517220589	0.156748304	0.081024787	0.019771005	0.059036718	0.724054206	0.961759214	0.350765902	0.625128228	0.186731674	0.096282416	0.064782781	0.414005868	0.212849484	0.104008736	25	350	1
0.719977998	0.517220589	0.101703338	0.050443493	0.019771005	0.059036718	0.724054206	0.961759214	0.350765902	0.625128228	0.186731674	0.096282416	0.064782781	0.414005868	0.193222828	0.082427604	25	375	1
0.719977998	0.517220589	0.156748304	0.081024787	0.019771005	0.059036718	0.744703808	0.949138207	0.292409228	0.541321363	0.193807082	0.093221301	0.088827346	0.474385868	0.258775242	0.127065928	25	400	1
0.719977998	0.517220589	0.156748304	0.081024787	0.019771005	0.059036718	0.662053831	0.936325914	0.292409228	0.541321363	0.176992553	0.084963822	0.088827346	0.474385868	0.170993048	0.075333104	25	450	1
0.84928432	0.44525735	0.115620082	0.059576572	0.019771005	0.059036718	0.642339243	0.923782898	0.292409228	0.541321363	0.275929186	0.143009245	0.132172673	0.448932151	0.208484785	0.101849144	25	500	1
0.162522943	0.158045895	0.002368109	0.000848278	0.058205914	0.051587959	0.146024743	0.655941927	0.064798242	0.079920248	0.647794205	0.847650344	0.462349338	0.931853713	0.199334281	0.244231158	30	10	1
0.948982441	0.926022644	0.496863934	0.412111046	0.173858048	0.123245054	0.688397434	0.084339652	0.609800711	0.78398603	0.660928156	0.491828253	0.220836717	0.816770529	0.005079728	0.015459635	30	15	1
0.926508759	0.394462185	0.184040369	0.127332509	0.092165707	0.10781087	0.504272498	0.308250949	0.191118046	0.166049128	0.458767004	0.441678377	0.659973451	0.93560534	0.095494056	0.073198286	30	25	1
0.365911932	0.148637566	0.294052361	0.139135134	0.092165707	0.10781087	0.258927096	0.089316186	0.518329706	0.834170342	0.369201768	0.480380887	0.339367331	0.945264027	0.158459089	0.187937754	30	50	1
0.729177185	0.542322762	0.071635594	0.024687984	0.035365331	0.083682068	0.880716867	0.393481067	0.562096705	0.938202093	0.065154483	0.084334816	0.229149236	0.968533792	0.376101704	0.2051806	30	75	1
0.941876165	0.777295038	0.087945801	0.034421012	0.060517732	0.116199994	0.77670322	0.345599504	0.561272778	0.816227899	0.229846549	0.337301808	0.093460358	0.675728744	0.238919619	0.110130767	30	100	1
0.729177185	0.569649112	0.182826433	0.078548994	0.025962326	0.07506519	0.954157555	0.511796642	0.276239188	0.514299101	0.18970464	0.072792207	0.146857862	0.960030846	0.16469471	0.085331014	30	175	1
0.922193837	0.687965757	0.208622552	0.092231975	0.035365331	0.083682068	0.769219118	0.605564541	0.452336994	0.731506225	0.438234097	0.267366959	0.176789217	0.988252548	0.195215152	0.11293064	30	190	1
0.729177185	0.569649112	0.156769926	0.065292282	0.025962326	0.07506519	0.847140151	0.907022843	0.274518499	0.511777118	0.273075726	0.151342624	0.146857862	0.960030846	0.154987101	0.081955713	30	200	1
0.790651644	0.603700948	0.215460176	0.099399382	0.035365331	0.083682068	0.847735458	0.908705073	0.274518499	0.511777118	0.151257676	0.079309486	0.094466546	0.776113225	0.231348594	0.119041219	30	225	1
0.729177185	0.569649112	0.170332441	0.066274268	0.025962326	0.07506519	0.847735458	0.908959962	0.320189789	0.592649252	0.193176508	0.084637517	0.134510919	0.743653465	0.185844336	0.086846426	30	250	1
0.729177185	0.569649112	0.176327421	0.071789813	0.060173849	0.066483153	0.941848013	0.845183954	0.368698976	0.572336737	0.256759407	0.122186547	0.184326335	0.918274855	0.175299155	0.08344475	30	275	1
0.729177185	0.569649112	0.115156502	0.038680002	0.060173849	0.066483153	0.986978732	0.820373893	0.301283537	0.579730464	0.279113597	0.131768855	0.129061664	0.739948614	0.218997428	0.114681128	30	300	1
0.729177185	0.569649112	0.147807203	0.053741763	0.060173849	0.066483153	0.889061379	0.874423896	0.310696599	0.440252995	0.36661675	0.19784592	0.124513184	0.791570132	0.228666948	0.120859004	30	325	1
0.729177185	0.569649112	0.153258426	0.058396099	0.060173849	0.066483153	0.618008344	0.912988302	0.311553115	0.50358425	0.437242412	0.211034588	0.11299703	0.761661227	0.198621081	0.093829171	30	350	1
0.729177185	0.569649112	0.194192703	0.076616786	0.045079687	0.059399469	0.766516898	0.957207992	0.277333595	0.469702848	0.195023253	0.082919227	0.175833712	0.762770106	0.259015267	0.111048647	30	375	1
0.729177185	0.569649112	0.125192211	0.044436562	0.045079687	0.059399469	0.616484696	0.910846977	0.311720904	0.437207749	0.29585056	0.128308078	0.097852539	0.731948773	0.272674719	0.115249498	30	400	1
0.609378515	0.493536898	0.096798317	0.031715012	0.045079687	0.059399469	0.665467342	0.963172205	0.276630909	0.40903671	0.184727774	0.082508856	0.133243609	0.901899265	0.272674719	0.115249498	30	450	1
